"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"2","","0","Авторизация","0","0","Авторизация с корректными учетными данными","0"
"16","","0","","0","0","","0"
"1","","0","Авторизация","0","0","Авторизация с недействительными учетными данными","0"
